web-scraper-order,web-scraper-start-url,months,months-href,title,date,venue
"1530567161-29","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","October 2018","https://www.whatsonincapetown.com/category/2018/events-in-october-2018/","Dancers for Dancers","16 October 2018","Venue: Artscape"
"1530567163-59","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","AfroFest Cape Town 2018","22 to 24 September 2018","AfroFest for Heritage weekend
 Venue: various"
"1530567163-66","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Jimmy Carr – Best of, Ultimate, Gold, Greatest Hits","29 September 2018","Venue: Grand Arena, Grand West"
"1530567146-8","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","February 2019","https://www.whatsonincapetown.com/category/2019/events-in-february-2019/","Up The Creek 2019","7 to 10 February 2019","Venue: Breede River, Swellendam, South Africa"
"1530567161-28","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","October 2018","https://www.whatsonincapetown.com/category/2018/events-in-october-2018/","Randy Crawford: Farewell SA, With Love","","Venue: GrandWest Casino and Entertainment World"
"1530567163-63","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Avataar @ Olympia Bakery","23 September 2018","Venue: Olympia Bakery"
"1530567146-7","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","February 2019","https://www.whatsonincapetown.com/category/2019/events-in-february-2019/","The Cape Town Coffee Festival","2 to 3 February 2019","Venue: CT City Hall"
"1530567168-77","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Nic Bothma @ Chavonnes Battery Museum","2 March 2018 to 30 November 2018","Venue: Chavonnes Battery Museum"
"1530567163-47","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","September 2018","https://www.whatsonincapetown.com/category/2018/events-in-september-2018/","Tops at Spar Bierfest 2018","28 to 29 September 2018","Venue: GrandWest Casino and Entertainment World"
"1530567153-18","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","December 2018","https://www.whatsonincapetown.com/category/2018/events-in-december-2018/","WILD SHOTS Wildlife Photography Conference","1 December 2018","Venue: Nedbank Auditorium, Clock Tower precinct"
"1530567168-85","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","Ruth First: 117 Days","31 July 2018 to 4 August 2018","Venue: Artscape Arena"
"1530567168-74","https://www.whatsonincapetown.com/category/2018/events-in-july-2018/","August 2018","https://www.whatsonincapetown.com/category/2018/events-in-august-2018/","African Queen – The Future @ Baxter","9 to 11 August 2018","Venue: Baxter Theatre Centre"
